,state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,date_local,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,arithmetic_mean,first_max_value,first_max_hour,aqi,method_code,method,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
0,42,003,0008,88502,1,40.46542,-79.960757,WGS84,Acceptable PM2.5 AQI & Speciation Mass,7,24 HOUR,,2019-06-26,Micrograms/cubic meter (LC),No Events,1,100.0,Y,7.2,7.2,0,30,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",Lawrenceville,"301 39th St, Pittsburgh, PA 15201 (Lawrenceville)",Pennsylvania,Allegheny,Pittsburgh,38300,"Pittsburgh, PA",2020-12-23
1,42,003,0008,88502,1,40.46542,-79.960757,WGS84,Acceptable PM2.5 AQI & Speciation Mass,7,24 HOUR,,2019-06-29,Micrograms/cubic meter (LC),No Events,1,100.0,Y,10.0,10.0,0,42,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",Lawrenceville,"301 39th St, Pittsburgh, PA 15201 (Lawrenceville)",Pennsylvania,Allegheny,Pittsburgh,38300,"Pittsburgh, PA",2020-12-23
2,42,003,0008,88502,1,40.46542,-79.960757,WGS84,Acceptable PM2.5 AQI & Speciation Mass,7,24 HOUR,,2019-07-02,Micrograms/cubic meter (LC),No Events,1,100.0,Y,8.6,8.6,0,36,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",Lawrenceville,"301 39th St, Pittsburgh, PA 15201 (Lawrenceville)",Pennsylvania,Allegheny,Pittsburgh,38300,"Pittsburgh, PA",2020-12-23
3,42,003,0008,88502,1,40.46542,-79.960757,WGS84,Acceptable PM2.5 AQI & Speciation Mass,7,24 HOUR,,2019-07-05,Micrograms/cubic meter (LC),No Events,1,100.0,Y,16.7,16.7,0,61,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",Lawrenceville,"301 39th St, Pittsburgh, PA 15201 (Lawrenceville)",Pennsylvania,Allegheny,Pittsburgh,38300,"Pittsburgh, PA",2020-12-23
4,42,003,0008,88502,1,40.46542,-79.960757,WGS84,Acceptable PM2.5 AQI & Speciation Mass,7,24 HOUR,,2019-07-08,Micrograms/cubic meter (LC),No Events,1,100.0,Y,9.4,9.4,0,39,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",Lawrenceville,"301 39th St, Pittsburgh, PA 15201 (Lawrenceville)",Pennsylvania,Allegheny,Pittsburgh,38300,"Pittsburgh, PA",2020-12-23
5,42,003,0008,88502,1,40.46542,-79.960757,WGS84,Acceptable PM2.5 AQI & Speciation Mass,7,24 HOUR,,2019-07-11,Micrograms/cubic meter (LC),No Events,1,100.0,Y,6.3,6.3,0,26,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",Lawrenceville,"301 39th St, Pittsburgh, PA 15201 (Lawrenceville)",Pennsylvania,Allegheny,Pittsburgh,38300,"Pittsburgh, PA",2020-12-23
6,42,003,0008,88502,1,40.46542,-79.960757,WGS84,Acceptable PM2.5 AQI & Speciation Mass,7,24 HOUR,,2019-07-14,Micrograms/cubic meter (LC),No Events,1,100.0,Y,7.2,7.2,0,30,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",Lawrenceville,"301 39th St, Pittsburgh, PA 15201 (Lawrenceville)",Pennsylvania,Allegheny,Pittsburgh,38300,"Pittsburgh, PA",2020-12-23
7,42,003,0008,88502,1,40.46542,-79.960757,WGS84,Acceptable PM2.5 AQI & Speciation Mass,7,24 HOUR,,2019-07-17,Micrograms/cubic meter (LC),No Events,1,100.0,Y,6.2,6.2,0,26,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",Lawrenceville,"301 39th St, Pittsburgh, PA 15201 (Lawrenceville)",Pennsylvania,Allegheny,Pittsburgh,38300,"Pittsburgh, PA",2020-12-23
8,42,003,0008,88502,1,40.46542,-79.960757,WGS84,Acceptable PM2.5 AQI & Speciation Mass,7,24 HOUR,,2019-07-20,Micrograms/cubic meter (LC),No Events,1,100.0,Y,12.4,12.4,0,52,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",Lawrenceville,"301 39th St, Pittsburgh, PA 15201 (Lawrenceville)",Pennsylvania,Allegheny,Pittsburgh,38300,"Pittsburgh, PA",2020-12-23
9,42,003,0008,88502,1,40.46542,-79.960757,WGS84,Acceptable PM2.5 AQI & Speciation Mass,7,24 HOUR,,2019-07-23,Micrograms/cubic meter (LC),No Events,1,100.0,Y,5.5,5.5,0,23,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",Lawrenceville,"301 39th St, Pittsburgh, PA 15201 (Lawrenceville)",Pennsylvania,Allegheny,Pittsburgh,38300,"Pittsburgh, PA",2020-12-23
