,state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,date_local,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,arithmetic_mean,first_max_value,first_max_hour,aqi,method_code,method,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
33280,42,003,0008,88101,3,40.46542,-79.960757,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 1997,2019-02-24,Micrograms/cubic meter (LC),No Events,1,100.0,Y,8.6,8.6,0,36.0,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Lawrenceville,"301 39th St, Pittsburgh, PA 15201 (Lawrenceville)",Pennsylvania,Allegheny,Pittsburgh,38300,"Pittsburgh, PA",2023-02-05
33287,42,003,0008,88101,3,40.46542,-79.960757,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 1997,2019-02-25,Micrograms/cubic meter (LC),No Events,1,100.0,Y,7.6,7.6,0,32.0,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Lawrenceville,"301 39th St, Pittsburgh, PA 15201 (Lawrenceville)",Pennsylvania,Allegheny,Pittsburgh,38300,"Pittsburgh, PA",2023-02-05
33294,42,003,0008,88101,3,40.46542,-79.960757,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 1997,2019-02-26,Micrograms/cubic meter (LC),No Events,1,100.0,Y,10.2,10.2,0,43.0,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Lawrenceville,"301 39th St, Pittsburgh, PA 15201 (Lawrenceville)",Pennsylvania,Allegheny,Pittsburgh,38300,"Pittsburgh, PA",2023-02-05
33301,42,003,0008,88101,3,40.46542,-79.960757,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 1997,2019-02-27,Micrograms/cubic meter (LC),No Events,1,100.0,Y,13.6,13.6,0,54.0,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Lawrenceville,"301 39th St, Pittsburgh, PA 15201 (Lawrenceville)",Pennsylvania,Allegheny,Pittsburgh,38300,"Pittsburgh, PA",2023-02-05
37761,42,003,0002,88101,2,40.499767,-80.071337,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 1997,2019-01-01,Micrograms/cubic meter (LC),No Events,1,100.0,Y,5.0,5.0,0,21.0,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC - Beta Attenuation,Avalon,"520 Orchard Ave, Avalon, PA 15202 (Avalon)",Pennsylvania,Allegheny,Avalon,38300,"Pittsburgh, PA",2023-02-05
37768,42,003,0002,88101,2,40.499767,-80.071337,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 1997,2019-01-02,Micrograms/cubic meter (LC),No Events,1,100.0,Y,7.5,7.5,0,31.0,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC - Beta Attenuation,Avalon,"520 Orchard Ave, Avalon, PA 15202 (Avalon)",Pennsylvania,Allegheny,Avalon,38300,"Pittsburgh, PA",2023-02-05
37782,42,003,0002,88101,2,40.499767,-80.071337,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 1997,2019-01-04,Micrograms/cubic meter (LC),No Events,1,100.0,Y,19.0,19.0,0,66.0,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC - Beta Attenuation,Avalon,"520 Orchard Ave, Avalon, PA 15202 (Avalon)",Pennsylvania,Allegheny,Avalon,38300,"Pittsburgh, PA",2023-02-05
37789,42,003,0002,88101,2,40.499767,-80.071337,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 1997,2019-01-05,Micrograms/cubic meter (LC),No Events,1,100.0,Y,14.1,14.1,0,55.0,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC - Beta Attenuation,Avalon,"520 Orchard Ave, Avalon, PA 15202 (Avalon)",Pennsylvania,Allegheny,Avalon,38300,"Pittsburgh, PA",2023-02-05
37803,42,003,0002,88101,2,40.499767,-80.071337,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 1997,2019-01-07,Micrograms/cubic meter (LC),No Events,1,100.0,Y,6.3,6.3,0,26.0,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC - Beta Attenuation,Avalon,"520 Orchard Ave, Avalon, PA 15202 (Avalon)",Pennsylvania,Allegheny,Avalon,38300,"Pittsburgh, PA",2023-02-05
37810,42,003,0002,88101,2,40.499767,-80.071337,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 1997,2019-01-08,Micrograms/cubic meter (LC),No Events,1,100.0,Y,7.2,7.2,0,30.0,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC - Beta Attenuation,Avalon,"520 Orchard Ave, Avalon, PA 15202 (Avalon)",Pennsylvania,Allegheny,Avalon,38300,"Pittsburgh, PA",2023-02-05
